Time (s),Channel 1 (V),Channel 2 (V)
-0.010447638,0.999522439,0.003673466
-0.010441388,1.000184715,0.003673466
-0.010435138,0.999853577,0.003339586
-0.010428888,0.999522439,0.003673466
-0.010422638,0.999853577,0.003673466
-0.010416388,0.999853577,0.003673466
-0.010410138,0.999522439,0.003673466
-0.010403888,0.999853577,0.003673466
-0.010397638,0.999522439,0.003673466
-0.010391388,0.999853577,0.003673466
-0.010385138,0.999853577,0.003673466
-0.010378888,0.999522439,0.003005707
-0.010372638,0.999853577,0.002671827
-0.010366388,0.999522439,0.003005707
-0.010360138,0.999522439,0.003005707
-0.010353888,0.999853577,0.003005707
-0.010347638,0.999853577,0.002671827
-0.010341388,0.999522439,0.002671827
-0.010335138,1.000184715,0.002671827
-0.010328888,0.999853577,0.002671827
-0.010322638,0.999522439,0.002671827
-0.010316388,0.999191301,0.003005707
-0.010310138,0.999853577,0.002671827
-0.010303888,1.000184715,0.002671827
-0.010297638,0.999853577,0.002671827
-0.010291388,0.999853577,0.002337948
-0.010285138,1.000184715,0.002671827
-0.010278888,0.999853577,0.002671827
-0.010272638,0.999522439,0.002671827
-0.010266388,0.999522439,0.002337948
-0.010260138,0.999853577,0.002337948
-0.010253888,0.999853577,0.002337948
-0.010247638,0.999853577,0.002337948
-0.010241388,0.999853577,0.002004069
-0.010235138,0.999853577,0.002337948
-0.010228888,0.999853577,0.002671827
-0.010222638,0.999853577,0.002337948
-0.010216388,0.999853577,0.002337948
-0.010210138,0.999853577,0.002337948
-0.010203888,0.999853577,0.002671827
-0.010197638,0.999853577,0.002337948
-0.010191388,0.999522439,0.002337948
-0.010185138,0.999522439,0.002671827
-0.010178888,0.999522439,0.002671827
-0.010172638,1.000184715,0.003005707
-0.010166388,0.999853577,0.002671827
-0.010160138,0.999522439,0.002337948
-0.010153888,0.999853577,0.003339586
-0.010147638,0.999853577,0.003005707
-0.010141388,0.999853577,0.003005707
-0.010135138,0.999853577,0.003005707
-0.010128888,0.999853577,0.002671827
-0.010122638,0.999853577,0.002671827
-0.010116388,0.999522439,0.002337948
-0.010110138,0.999522439,0.002671827
-0.010103888,0.999853577,0.003005707
-0.010097638,1.000184715,0.002337948
-0.010091388,0.999853577,0.002337948
-0.010085138,0.999522439,0.002337948
-0.010078888,1.000184715,0.002337948
-0.010072638,1.000184715,0.002337948
-0.010066388,0.999853577,0.002337948
-0.010060138,1.000515854,0.002337948
-0.010053888,1.000184715,0.002337948
-0.010047638,0.999853577,0.002337948
-0.010041388,0.999853577,0.002004069
-0.010035138,0.999853577,0.002337948
-0.010028888,1.000515854,0.002004069
-0.010022638,0.999853577,0.002004069
-0.010016388,0.999853577,0.002004069
-0.010010138,0.999853577,0.002004069
-0.010003888,0.627323112,0.005342863
-0.009997638,-1.003201343,0.002004069
-0.009991388,-0.998896547,0.003005707
-0.009985138,-0.998565409,0.007346139
-0.009978888,-0.998565409,0.022370713
-0.009972638,-0.999227685,0.060099088
-0.009966388,-0.999558823,0.126874972
-0.009960138,-0.999558823,0.223366125
-0.009953888,-1.0002211,0.340223922
-0.009947638,-1.0002211,0.457749478
-0.009941388,-1.0002211,0.551903475
-0.009935138,-1.0002211,0.594306161
-0.009928888,-1.0002211,0.565258652
-0.009922638,-1.000552238,0.454076805
-0.009916388,-1.0002211,0.267772088
-0.009910138,-1.000552238,0.02404011
-0.009903888,-1.000552238,-0.240058512
-0.009897638,-1.000883376,-0.492471354
-0.009891388,-1.000552238,-0.706488063
-0.009885138,-1.001214514,-0.856399923
-0.009878888,-1.001545652,-0.928851757
-0.009872638,-1.000883376,-0.923843566
-0.009866388,-1.001214514,-0.854062767
-0.009860138,-1.001214514,-0.740543764
-0.009853888,-1.001214514,-0.607659754
-0.009847638,-1.000883376,-0.479116177
-0.009841388,-1.000883376,-0.371273124
-0.009835138,-1.000883376,-0.291809822
-0.009828888,-1.000883376,-0.239724632
-0.009822638,-1.001214514,-0.206670569
-0.009816388,-1.001545652,-0.179292457
-0.009810138,-1.000883376,-0.145904515
-0.009803888,-1.001214514,-0.096490361
-0.009797638,-1.001214514,-0.028045079
-0.009791388,-1.001214514,0.057428052
-0.009785138,-1.001214514,0.152917567
-0.009778888,-1.001214514,0.248740961
-0.009772638,-1.001545652,0.334547972
-0.009766388,-1.001545652,0.402659374
-0.009760138,-1.001545652,0.449736372
