Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
2500.345362,0.017025217,-0.034146791,-17.26493127
2517.676928,0.013737999,-0.010453307,-19.43586906
2535.12863,0.015680453,-0.065170509,-21.84314497
2552.701303,0.011314889,-0.04714491,-23.99258423
2570.395783,0.010639856,-0.030012365,-26.04504964
2588.212915,0.021614415,0.011208269,-28.04781849
2606.15355,0.013034448,0.007700846,-30.12237999
2624.218543,0.013208247,-0.028221858,-32.12004411
2642.408757,0.016356095,0.024977573,-34.48827
2660.72506,0.017102584,-0.003720477,-36.50820396
2679.168325,0.016408771,-0.001144924,-38.56112744
2697.739432,0.014000393,0.020150767,-40.58600656
2716.439269,0.010426725,0.01039011,-42.49170595
2735.268726,0.017840791,0.040870277,-44.51563292
2754.228703,0.007850086,0.050247404,-46.65273075
2773.320105,0.012848077,0.003588788,-48.45249679
2792.543841,0.0039998,0.060733231,-50.51207959
2811.90083,0.012276521,0.026697987,-52.53768518
2831.391996,0.006803293,0.062022865,-54.29268236
2851.018268,0.015034054,0.034147572,-56.36787675
2870.780582,0.011123088,0.025658319,-57.98948027
2890.679882,0.005161524,0.03636825,-60.2682358
2910.717118,0.009338976,0.008777495,-62.0144899
2930.893245,0.012424098,0.014798382,-63.94053134
2951.209227,0.014655979,0.012749434,-65.7252246
2971.666032,0.012143866,0.0264613,-67.34624354
2992.264637,0.004002815,0.03447247,-69.40828964
3013.006024,0.010575482,0.028373857,-71.06732993
3033.891184,0.008538114,0.01042882,-73.07234541
3054.921113,0.00470745,-0.009357611,-74.56831931
3076.096815,0.010608527,0.008315368,-76.49327424
3097.419299,0.005970257,-0.036095722,-78.04230633
3118.889584,0.013009102,-0.017775648,-79.61824902
3140.508694,0.014362695,-0.023815938,-81.73559097
3162.27766,0.023586959,-0.038667699,-83.29383518
3184.197522,0.00921957,-0.035581177,-84.92892853
3206.269325,0.012942371,-0.035512838,-86.64071601
3228.494122,0.010129382,-0.04426317,-88.22813588
3250.872974,0.015086379,-0.047188891,-89.767797
3273.406949,0.007268894,-0.105363924,-91.57448036
3296.097122,0.008004115,-0.06747829,-93.17340599
3318.944576,0.01712695,-0.088350168,-94.83034498
3341.9504,0.007629232,-0.087505992,-96.28195268
3365.115694,0.012138265,-0.097607394,-98.01748699
3388.441561,0.005862285,-0.123048746,-99.42889146
3411.929116,0.005929483,-0.143512919,-101.1565844
3435.579479,0.01156004,-0.128261108,-102.5694364
3459.393778,0.014955448,-0.114804656,-104.3314007
3483.37315,0.006253806,-0.156908548,-105.6547657
3507.51874,0.015241466,-0.153283599,-107.3277213
3531.831698,0.007343603,-0.159580158,-108.8884751
3556.313186,0.015078048,-0.189059288,-110.3176692
3580.964371,0.007959617,-0.1766009,-111.7338106
3605.78643,0.007166087,-0.158804381,-113.2488617
3630.780548,0.001505995,-0.182886068,-114.7595162
3655.947916,0.010329784,-0.167122817,-116.326554
3681.289736,0.010610498,-0.182338443,-117.8751513
3706.807218,0.001363385,-0.189148114,-119.3164311
3732.501578,0.004537857,-0.177892489,-120.7072637
3758.374043,0.006616175,-0.185560398,-122.0472723
3784.425847,0.002849297,-0.199034737,-123.6031466
3810.658234,0.005727789,-0.200913016,-125.095211
3837.072455,0.007573254,-0.205531756,-126.6837917
